"Ch1","Ch2","Ch3","Ch4","No"
0.169463738799095,0.272215664386749,0.406309872865677,0.152010753750801,1
0.16899910569191,0.254568547010422,0.0653494223952293,0.511082887649536,2
0.303081482648849,0.15711185336113,0.14898470044136,0.390821993350983,3
0.359620213508606,0.190604522824287,0.0923153683543205,0.357459902763367,4
0.319878280162811,0.212767288088799,0.35440519452095,0.112949214875698,5
0.668259263038635,0.131620138883591,0.0502181239426136,0.14990246295929,6
0.197079807519913,0.522335290908813,0.0554835274815559,0.225101366639137,7
0.444821327924728,0.0674459412693977,0.068344920873642,0.419387817382812,8
0.0710217729210854,0.399564743041992,0.0846509858965874,0.444762468338013,9
0.213588148355484,0.209753334522247,0.0947156548500061,0.481942802667618,10
0.155474349856377,0.21652726829052,0.193759992718697,0.434238404035568,11
0.107774585485458,0.105784714221954,0.656687498092651,0.129753246903419,12
0.109572865068913,0.13518975675106,0.458155453205109,0.297082006931305,13
0.144679486751556,0.257374554872513,0.0954087302088737,0.502537250518799,14
0.157551750540733,0.471879482269287,0.0698415488004684,0.300727248191833,15
0.200637459754944,0.0923046991229057,0.149692714214325,0.557365119457245,16
0.11844115704298,0.274206727743149,0.0707628950476646,0.536589205265045,17
0.194971159100533,0.449258863925934,0.0680915638804436,0.287678450345993,18
0.112048044800758,0.368501037359238,0.251643121242523,0.267807811498642,19
0.468243688344955,0.319980353116989,0.0772849321365356,0.134490966796875,20
0.532711505889893,0.195245981216431,0.109640583395958,0.162401914596558,21
0.078346274793148,0.290360748767853,0.222421824932098,0.40887114405632,22
0.168203324079514,0.548443078994751,0.182755544781685,0.100598037242889,23
0.0691128149628639,0.471134334802628,0.158469766378403,0.301283061504364,24
0.26350212097168,0.177198395133018,0.34259968996048,0.2166997641325,25
0.168838515877724,0.261479914188385,0.451827466487885,0.117854125797749,26
0.254614412784576,0.151034817099571,0.411353915929794,0.182996839284897,27
0.147216737270355,0.167452782392502,0.42769667506218,0.257633835077286,28
0.0619062706828117,0.37223818898201,0.247814327478409,0.318041175603867,29
0.461507976055145,0.192643463611603,0.109488114714622,0.236360400915146,30
0.0743619278073311,0.198397278785706,0.436476677656174,0.290764153003693,31
0.0860117822885513,0.303633391857147,0.119264163076878,0.491090685129166,32
0.334611356258392,0.156605124473572,0.174287676811218,0.334495782852173,33
0.306488275527954,0.101501300930977,0.213949665427208,0.378060787916183,34
0.333746522665024,0.277941316366196,0.120884001255035,0.267428189516068,35
0.360473215579987,0.168229922652245,0.117822639644146,0.353474259376526,36
0.359204560518265,0.0822260081768036,0.205785393714905,0.352784037590027,37
0.174372956156731,0.519500374794006,0.0946193635463715,0.211507335305214,38
0.0929932743310928,0.140367299318314,0.327912360429764,0.438727021217346,39
0.295339435338974,0.0998766273260117,0.066456064581871,0.538327872753143,40
0.0810398608446121,0.0827307105064392,0.280866950750351,0.555362522602081,41
0.53508597612381,0.0697819069027901,0.151153013110161,0.24397911131382,42
0.331395536661148,0.156116753816605,0.0523418225347996,0.460145950317383,43
0.0536140538752079,0.142294049263,0.35436949133873,0.449722439050674,44
0.065467856824398,0.138930037617683,0.359485119581223,0.436117023229599,45
